zip,,lattitutde,longitude,, use this to convert zipcodes to lat/long http://universimmedia.pagesperso-orange.fr/geo/loc.htm
23454,,36.86532,-76.05079,,
60005,,42.06554,-87.98737,,
24401,,38.12312,-79.0871,,
22901,,38.08247,-78.55473,,
6877,,45.85338,8.98381,,
22812,,38.36483,-78.99669,,
22824,,38.86873,-78.6342,,
20171,,38.9147,-77.38986,,
20723,,39.14267,-76.86056,,
22801,,38.40499,-78.87223,,
20902,,39.04517,-77.03918,,
8085,,47.43298,18.51231,,
22932,,38.16772,-78.67958,,
22213,,38.89592,-77.16146,,
22827,,38.39012,-78.6115,,
23602,,37.11208,-76.53726,,
21012,,39.05891,-76.49101,,
23456,,36.73582,-76.02759,,
20152,,38.9091,-77.52755,,
23221,,37.54889,-77.4874,,
20878,,39.1048,-77.25201,,
22192,,38.68059,-77.32096,,
24153,,37.2891,-80.12053,,
23228,,37.61645,-77.48167,,
10598,,41.28687,-73.78309,,
22207,,38.91053,-77.11975,,
23322,,36.6216,-76.22474,,
8048,,39.96583,-74.80556,,
20147,,39.04796,-77.48167,,
22844,,38.65501,-78.66824,,
22192,,38.68059,-77.32096,,
22508,,38.3299,-77.81386,,
22835,,38.68545,-78.45246,,
23322,,36.6216,-76.22474,,
22407,,38.30561,-77.58487,,
23451,,36.86436,-75.99857,,
22801,,38.40499,-78.87223,,
23226,,37.57356,-77.52181,,
22485,,38.23729,-77.14852,,
23454,,36.86532,-76.05079,,
23452,,36.84973,-76.0972,,
14424,,42.83437,-77.30947,,
22015,,38.78439,-77.28074,,
24502,,37.3467,-79.21128,,
20120,,38.86298,-77.48167,,
22551,,36.73582,-76.02759,,
23456,,36.73582,-76.02759,,
20877,,39.14387,-77.18877,,
20148,,39.01187,-77.52755,,
21061,,39.15117,-76.62394,,
20164,,39.0067,-77.42913,,
17325,,39.82431,-77.21752,,
22815,,38.68403,-78.86091,,
22030,,38.84543,-77.32096,,
20132,,39.18664,-77.72232,,
22520,,38.11273,-76.77982,,
22802,,38.47665,-78.86091,,
23834,,37.29139,-77.38986,,
24541,,36.60063,-79.53786,,
23024,,,,,
23124,,,,,
23005,,,,,
24354,,,,,
22534,,,,,
22630,,,,,
22603,,,,,
22554,,,,,
23005,,,,,
22801,,,,,
7921,,,,,
21042,,,,,
21012,,,,,
7739,,,,,
22205,,,,,
20194,,,,,
22066,,,,,
23226,,,,,
22701,,,,,
20176,,,,,
22153,,,,,
22003,,,,,
22801,,,,,
24019,,,,,
28560,,,,,
22801,,,,,
22102,,,,,
20147,,,,,
20158,,,,,
22408,,,,,
20119,,,,,
23664,,,,,
20151,,,,,
22193,,,,,
21043,,,,,
22153,,,,,
23693,,,,,
22630,,,,,
11792,,,,,
24018,,,,,
20171,,,,,
22205,,,,,
20112,,,,,
20137,,,,,
23455,,,,,
10475,,,,,
22181,,,,,
22737,,,,,
19465,,,,,
22801,,,,,
23322,,,,,
21784,,,,,
24060,,,,,
23455,,,,,
22152,,,,,
23693,,,,,
23185,,,,,
22482,,,,,
434,,,,,
24426,,,,,
22801,,,,,
22192,,,,,
23059,,,,,
30542,,,,,
22207,,,,,
23301,,,,,
23456,,,,,
24112,,,,,
7843,,,,,
21784,,,,,
20878,,,,,
23185,,,,,
19335,,,,,
8801,,,,,
20121,,,,,
22041,,,,,
23451,,,,,
22030,,,,,
22936,,,,,
22936,,,,,
